stars,comment
4.0 out of 5 stars,"







  
  
    The books are small and will mostly fit your palm, so once the kids get used to readingbooks they can easily hold them.Good to train your kid with these books right from 6 months and up
  
"
5.0 out of 5 stars,"







  
  
    Amazing books, I found some images are repeated in many books. Please introduce unique images.
  
"
5.0 out of 5 stars,"







  
  
    Very good paper of this product and print .. value for money
  
"
4.0 out of 5 stars,"







  
  
    Good for initial ages learning thing . Colorful n pretty hood content
  
"
4.0 out of 5 stars,"







  
  
    Package was not good... I was opened
  
"
5.0 out of 5 stars,"







  
  
    Good
  
"
4.0 out of 5 stars,"







  
  
    Size of the book is small when compared with the image
  
"
5.0 out of 5 stars,"







  
  
    Super books
  
"
4.0 out of 5 stars,"







  
  
    Nice quality
  
"
4.0 out of 5 stars,"







  
  
    Ok. I like the book collection. They are bright coloured, apt in size for babies older than 6 months old. But do keep in mind that if your baby is mouthing and is not familiar with books before, just introduce this book, turn the pages, show the pictures and not give it to them. Not because they can be easily torn or something but because of their salive, the pages tend to get soaked in it forming into something like the picture i am attaching. The publishers could have done something to prevent that.For my baby,who is mouthing, I now have bought a cloth book for now and intends to introduce this little library later on. Apart that minute fault, i am excited about him reading and this little library.
  
"
5.0 out of 5 stars,"







  
  
    My kids loved it...
  
"
4.0 out of 5 stars,"







  
  
    This book set is very good for kids of age 1-3. Pictures are clear and colourful. Books are small in size so they can easily get hold them.
  
"
4.0 out of 5 stars,"







  
  
    I love it
  
"
4.0 out of 5 stars,"







  
  
    Rate - 8/10PROSThis is like small library for kid, with image based identication of objects commonly incountered by kids in day to day life.Good for developing  visual memory for kids and it's keeps them engagedCONSnot exactly a cons but improvement can be made in birds and animal section to include commonly seen animals in India.Differentiation of similar looking birds like goose and ducks can be highlighted for better understanding for kids.
  
"
5.0 out of 5 stars,"







  
  
    The whole book set is too small and will fit in your palm. But this is the best part of it. Even toddlers can handle it easily. The board of pages are of very good quality. Pictures  are very attractive. Must buy for your toddlers
  
"
5.0 out of 5 stars,"







  
  
    My boy always having them in his hand. Easy handle. Good to purchase it.
  
"
5.0 out of 5 stars,"







  
  
    I bought it for my 2and half year old daughter. She really likes them and often comes to me with books so that I will read out the names to her.
  
"
5.0 out of 5 stars,"







  
  
    I am gifted to my vanji ..and she is fully happy and enjoy..thank you amazone for this love product.
  
"
5.0 out of 5 stars,"







  
  
    I bought this for my kid when she was one year old. She has learnt a lot from these set of books and it acted as the foundation for her further learnings. I have ordered the same for my friends kids as  well and it's a great gifting options for kids 0.6 - 2 year olds
  
"
4.0 out of 5 stars,"







  
  
    nice worth product for this price 399/-
  
"
5.0 out of 5 stars,"







  
  
    It's a pack of 10 books that will help the baby to identify new color, shape,  vegetable and animals
  
"
5.0 out of 5 stars,"







  
  
    I bought this for my one year old twin niece & nephew...they love looking at the pictures and the material is good too.
  
"
5.0 out of 5 stars,"







  
  
    Good product
  
"
5.0 out of 5 stars,"







  
  
    I would have liked,it will help child uderstand easily
  
"
4.0 out of 5 stars,"







  
  
    Best books for learning of 3-4 years baby
  
"
4.0 out of 5 stars,"







  
  
    Loved it
  
"
4.0 out of 5 stars,"







  
  
    Good for learners stage.. quality is also good but size to small is my opinion…
  
"
4.0 out of 5 stars,"







  
  
    Like - contentDislike - thickness of paper
  
"
4.0 out of 5 stars,"







  
  
    Excellent books for infants. Each and every books are super . They will be enjoying lot.
  
"
4.0 out of 5 stars,"







  
  
    The size of the buk is so small than expected.. but the contents in it are Gud...
  
"
5.0 out of 5 stars,"







  
  
    These board book library is super good. They are quite sturdy too. Colorful and nice pictures. Its my go to gift for all 1 year old kids. Go for it.
  
"
5.0 out of 5 stars,"







  
  
    Nice product thank you
  
"
4.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Very nice
  
"
5.0 out of 5 stars,"







  
  
    V nice product for kids
  
"
5.0 out of 5 stars,"







  
  
    Very Good and clear images. Handy to show and teach babies
  
"
5.0 out of 5 stars,"







  
  
    Quality good but very small. Still helpful
  
"
5.0 out of 5 stars,"







  
  
    Must required for every kid . It gives them the idea of different things which they have seen. Every parent should consider this gift for their babies.
  
"
5.0 out of 5 stars,"







  
  
    Gudddddd product worthble like itNice delivery 🙂 tq
  
"
5.0 out of 5 stars,"







  
  
    Worth buying best for kids to teach
  
"
4.0 out of 5 stars,"







  
  
    Good for infants to acquire knowledge on different categories of books
  
"
4.0 out of 5 stars,"







  
  
    My kid like it and enjoy with it whole day
  
"
5.0 out of 5 stars,"







  
  
    Good one
  
"
5.0 out of 5 stars,"







  
  
    Got this as a gift, the quality of the board book is great. Ideal for little children, will not wear off easily
  
"
5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     These books are so helpful to gain knowledge for kids, it helps to recognise all types of basic knowledge.These books are quite handy, my child can hold it in his hand and can easily turn pages, it has hard pages so they don't get easily folded or damage.My child loves this books also keep him engage for a long time
  
"
5.0 out of 5 stars,"







  
    किताबे अच्छी हैं। बस आप ये जान लें कि इनका size बहुत ही छोटा है।
  
  
"
5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    
"
5.0 out of 5 stars,"







  
  
    Good
  
"
4.0 out of 5 stars,"







  
  
    This is good but size is a factor for babies.
  
"
4.0 out of 5 stars,"







  
  
    Good product for kids to actually have a feel of books. Pictures are good quality.
  
"
5.0 out of 5 stars,"







  
  
    It's a best gift you can give to kids under 3
  
"
5.0 out of 5 stars,"







  
  
    Good quality of book 👍Good printGood look👌👍Use full types of title book👍
  
"
5.0 out of 5 stars,"







  
  
    Nothing to dislike.
  
"
3.0 out of 5 stars,"







  
  
    Useful productBut very small in size
  
"
4.0 out of 5 stars,"







  
  
    Good according to price.
  
"
4.0 out of 5 stars,"







  
  
    I think size of the books r big but these r smaller in size than expectation
  
"
4.0 out of 5 stars,"







  
  
    Quality and printing is good, would have even been handy if the content inside them is easy, so that it is easy for kids to understand instead of just memorizing as this is for kids who just started learning. It would help
  
"
5.0 out of 5 stars,"







  
  
    Not bad and not tat much small  ppcket friendly easy to carry kids love to learn
  
"
5.0 out of 5 stars,"







  
  
    Very nice and value for money
  
"
5.0 out of 5 stars,"







  
  
    Good
  
"
4.0 out of 5 stars,"







  
  
    Handy
  
"
3.0 out of 5 stars,"







  
  
    Ok
  
"
5.0 out of 5 stars,"







  
  
    Product is good but book size is very small
  
"
5.0 out of 5 stars,
5.0 out of 5 stars,"







  
  
    A must have product for future super heros....
  
"
5.0 out of 5 stars,"







  
  
    Like the quality and the information provided in the books which will help the kids to learn with fun
  
"
5.0 out of 5 stars,"







  
  
    Best one for 1 year kid thank you so much am very happy
  
"
4.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     Best quality
  
"
3.0 out of 5 stars,"







  
  
    I bought this for my kid of 2 years age. The size is very small(size 10cm length and 9 cm width). Image quality is fine.
  
"
5.0 out of 5 stars,"







  
  
    The books are sturdy,and the pictures are bright and big. Happy!
  
"
5.0 out of 5 stars,"







  
  
    Thank you so much my kids like these very much best quality product i have ever ordered from amazon
  
"
5.0 out of 5 stars,"







  
  
    Small in size which makes easy for a child to hold.Round corner and a good quality product.
  
"
5.0 out of 5 stars,"







  
  
    Very useful and we'll designed product for the age group of 1-3 years.
  
"
5.0 out of 5 stars,"







  
  
    My baby loves it. The pictures are very clear. Easy learning for babies and toddlers.
  
"
3.0 out of 5 stars,"







  
  
    It should contain Indian animals, fruits, flowers if it is being selled in india
  
"
4.0 out of 5 stars,"







  
  
    Small in size but great quality and the advantage is that it can easily fit anywhere taking less space
  
"
5.0 out of 5 stars,"







  
  
    I had purchased it 2 years back for my child ...I saw it helped a lot to learn....so this time i gifted it to another little kid
  
"
5.0 out of 5 stars,"







  
  
    Awesome
  
"
4.0 out of 5 stars,"







  
  
    It helped me lot to teach my kid .till now he s using this book more than 2ad half years .
  
"
5.0 out of 5 stars,"







  
  
    Super item
  
"
4.0 out of 5 stars,"







  
  
    Even though my daughter was just turning one, the book helps a lot to get her attention on and be playfull. Not to be worried much about chewing - eventhough it hard paper, but would last longer than ordinary paper book. A good buy as a starter.
  
"
5.0 out of 5 stars,"







  
  
    100% usefull books first learning....
  
"
5.0 out of 5 stars,"







  
  
    Must have books collection for the babies.
  
"
5.0 out of 5 stars,"







  
  
    For my one year old boy he loves it
  
"
4.0 out of 5 stars,"







  
  
    Good book
  
"
5.0 out of 5 stars,"







  
  
    Kids love this and it's durable
  
"
4.0 out of 5 stars,"







  
  
    I must say that the books r really good ...my child liked it.
  
"
5.0 out of 5 stars,"







  
  
    It's a perfect for babies around 1.5yrs to 3 yrsBook quality is good
  
"
5.0 out of 5 stars,"







  
  
    Board quality is good...must but for kids
  
"
4.0 out of 5 stars,"







  
  
    Quality, font, colours, packaging all good. Nice option for gifting
  
"
5.0 out of 5 stars,"







  
  
    Much useful buy for our little ones
  
"
4.0 out of 5 stars,"







  
  
    The quality of the books is very good. They can survive even kids throw them here and there.And the collection is also good, covering some basic things anyone should know.
  
"
5.0 out of 5 stars,"







  
  
    Very nice books..ur toddler will love it
  
"
5.0 out of 5 stars,"







  
  
    Book colour and print very good and good for those kid who not speak very well.
  
"
5.0 out of 5 stars,"







  
  
    I like this product 😍
  
"
5.0 out of 5 stars,"







  
  
    Nice quality...good price....my daughter loves the images...it's a must have I feel.
  
"
5.0 out of 5 stars,"







  
  
    Kids loves itGood qualityHand size easy to carry
  
"
5.0 out of 5 stars,"







  
  
    Great and portable books to teach child different words. And colourful image for little ones under 1 year
  
"
5.0 out of 5 stars,"







  
  
    Good and interesting set of books for the child to understand and familarise different things.
  
"
5.0 out of 5 stars,"







  
  
    Nice
  
"
4.0 out of 5 stars,"







  
  
    Good for children
  
"
4.0 out of 5 stars,"







  
  
    Looks cute and awesome but it is comparatively small with images enclosed ..could be good if we get this product around 250-300.
  
"
5.0 out of 5 stars,"







  
  
    All books nice
  
"
4.0 out of 5 stars,"







  
  
    Overall product is good.But it should contain more familiar words for kids. So that there understanding can be improved.
  
"
5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     It develops habit of reading books
  
"
5.0 out of 5 stars,"







  
  
    Awesome stuff good material..no second thought go for it
  
"
5.0 out of 5 stars,"







  
  
    The books are really good.
  
"
4.0 out of 5 stars,"







  
  
    Thanks
  
"
5.0 out of 5 stars,"







  
  
    Quality and picture clarity was good ..my baby love these books
  
"
5.0 out of 5 stars,
5.0 out of 5 stars,
5.0 out of 5 stars,"







  
  
    Good quality books
  
"
5.0 out of 5 stars,"







  
  
    Very useful books, colours are very bright and quality of books are also good. Attractive designs with clear view.
  
"
5.0 out of 5 stars,"







  
  
    The product is same as shown in the pictures.
  
"
5.0 out of 5 stars,"







  
  
    The size is a bit small, but my child absolutely loved the books. He prefers books over mobile phone at times.
  
"
4.0 out of 5 stars,"







  
  
    Nice product
  
"
3.0 out of 5 stars,"







  
  
    To small
  
"
5.0 out of 5 stars,"







  
  
    Hard papers are really good... Child can't tire it
  
"
5.0 out of 5 stars,
5.0 out of 5 stars,"







  
  
    My kid really liked it. Quality of the pics and book are really awesome
  
"
5.0 out of 5 stars,"







  
  
    5
  
"
5.0 out of 5 stars,"







  
  
    Good quality
  
"
5.0 out of 5 stars,"







  
  
    This product is a must have in every house with a child.you can fimilarise them with animals to start with and make it difficult as they growup. Later children can refer to these books for drawing things .The text is clear, pictures are relatable and well spaced out.
  
"
5.0 out of 5 stars,"







  
  
    Literally ,this is the first book for my child and he is learning/enjoying very sharply.Book dimensions/quality is very suitable.
  
"
5.0 out of 5 stars,"







  
  
    Good
  
"
5.0 out of 5 stars,"







  
  
    Smaller in size ..but picture are very clear...my baby is interested to learn all those things ..go for it
  
"
5.0 out of 5 stars,"







  
  
    Very nice for kids to learn.
  
"
4.0 out of 5 stars,"







  
  
    Material is hard enough. Picture quality is also good. My daughter love it. This product is really useful to keep children away from mobile and tv screen.
  
"
5.0 out of 5 stars,"







  
  
    One of the best purchases I've made for my infant. She was thrilled to read and play with these books. Good quality as well.
  
"
4.0 out of 5 stars,"







  
  
    Worth the money. Books are so colorful & help kids in learning.Would definitely recommed for toddlers.
  
"
5.0 out of 5 stars,"







  
  
    When i got delivery i was soo happy now iam going to teach for my baby showing books ...pictures ....and to decorate her library.... definitely i recommend this product....
  
"
5.0 out of 5 stars,"







  
  
    What a sturdy product.. hard board paper used.. quality is very good.. colors used very bright.. pictures are big enough.. its very useful for babies..
  
"
5.0 out of 5 stars,"







  
  
    Keep it Up
  
"
5.0 out of 5 stars,"







  
  
    It's really great package of early learning. Just go for this.
  
"
5.0 out of 5 stars,"







  
  
    My child's favourite. Nice book.
  
"
5.0 out of 5 stars,"







  
  
    Kids love it
  
"
3.0 out of 5 stars,"







  
  
    Yes, your kid will be little curious at first sight. Then after they will start biting, licking these board books. Also because of the small size the kid won't recognise the images easily. I will recommend to buy the bigger size board book. Kid will love bigger board books.
  
"
5.0 out of 5 stars,"







  
  
    Nice collection of basic words with attractive colors for kids
  
"
5.0 out of 5 stars,"







  
  
    Its great for developing skills for kids
  
"
5.0 out of 5 stars,"







  
  
    Good product... Books hv vibrant colours n vry attractive for baby..
  
"
5.0 out of 5 stars,"







  
  
    Very good books
  
"
5.0 out of 5 stars,"







  
  
    The font size and one image in a page concept really helps kid to learn word. Go for it
  
"
4.0 out of 5 stars,"







  
  
    My kids like the book. Only concern is that many of the things are not commonly seen in India. But quality wise it is superb
  
"
5.0 out of 5 stars,"







  
  
    Good material used for board books.. my 2 yr son uses it roughly but it's still in good condition and he enjoys reading it..  Worth buying 👍
  
"
5.0 out of 5 stars,"







  
  
    Paper quality is good.The size is bit smaller than I thought. However it’s a great buy and useful for kids
  
"
5.0 out of 5 stars,"







  
  
    Great set of books for the kids. These books contains every basic information for the children.
  
"
5.0 out of 5 stars,"







  
  
    Good quality content, it's useful and for the kids.
  
"
5.0 out of 5 stars,"







  
  
    One of the best gifts to give to toddlers.
  
"
4.0 out of 5 stars,"







  
  
    Good learning for kids
  
"
5.0 out of 5 stars,"







  
  
    Fantastic quality
  
"
5.0 out of 5 stars,"







  
  
    I purchased it for my son , and he loved it
  
"
5.0 out of 5 stars,"







  
  
    Its very handy set of  books , quality is great , content is good🙂✌️ must buy
  
"
3.0 out of 5 stars,"







  
  
    So I ordered this book library for my Lil one. She has no interest in the pics but she want to eats the cardboard.Also these are too small for Lil ones.You can order for 1year old or older. But infants will only chew or eat these books.
  
"
5.0 out of 5 stars,"







  
  
    Very helpful
  
"
5.0 out of 5 stars,"







  
  
    Good awsome
  
"
5.0 out of 5 stars,
5.0 out of 5 stars,"







  
  
    Total 10 books. Each having 10 good quality pages.
  
"
4.0 out of 5 stars,"







  
  
    Product is good but size is too small.
  
"
5.0 out of 5 stars,"







  
  
    Bahut hi jyada chhoti hai
  
"
5.0 out of 5 stars,
4.0 out of 5 stars,"







  
  
    The words used are in US language fr example ladiesfinger is okra and purple is voilet infact some also uses the same words...  and pictures of vehicles tht are used in different contry...if yu r willing to buy go for it
  
"
4.0 out of 5 stars,"







  
  
    Size of the book is bit smaller but the quality is really nice and the baby enjoys playing n reading them
  
"
5.0 out of 5 stars,"







  
  
    My one year old baby loved this set of book.
  
"
5.0 out of 5 stars,"







  
  
    Hardcover ,good pictures and worth it....
  
"
4.0 out of 5 stars,
4.0 out of 5 stars,"







  
  
    Can go for it
  
"
5.0 out of 5 stars,"







  
  
    Go for this without any second thoughts. Book It's on exact size it needs to be. Very easy to carry with infants around. Sturdy. Hard covers. Pictures are real and in white background without any deviation. My baby enjoys seeing it. Good though of having all the basic topics n a single nutshell.The only con I would say is we see few repetitive objects across all the books. I e Brocolli n vegetables and in Green colour as well. This might be corrected to include as many new words/ pictures as possible. Otherwise great buy. No regrets.
  
"
5.0 out of 5 stars,"







  
  
    Quality is too good.Pictures are attractive and colorful. Size is perfect for little hands.
  
"
5.0 out of 5 stars,"







  
  
    I like the pattern and concept as well as content of this Lil library but it's size is too small.
  
"
5.0 out of 5 stars,"







  
  
    Nice & good quality books. Keeps babies engrossed.
  
"
5.0 out of 5 stars,"







  
  
    Quality is super
  
"
5.0 out of 5 stars,"







  
  
    Trily useful for children. A must have book in library.
  
"
5.0 out of 5 stars,"







  
  
    Worth buying, bought it for my niece, she loved it.
  
"
4.0 out of 5 stars,"







  
  
    All are 👍 good
  
"
5.0 out of 5 stars,"







  
  
    It's very good quality and nice design. My kid loved it
  
"
5.0 out of 5 stars,"







  
  
    Quality good and worthable
  
"
4.0 out of 5 stars,"







  
  
    Value for moneypocket freindly and quality is good
  
"
4.0 out of 5 stars,"







  
  
    Book is very nice but it is very small size but my first library is very super
  
"
5.0 out of 5 stars,"







  
  
    Good product for little children.My baby learning easy way and enjoing it.
  
"
5.0 out of 5 stars,"







  
  
    Well designed and attractive for baby.Your kiddo will love this.
  
"
5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     Quality of these board books are amazing, i really loved it for my toddler.
  
"
4.0 out of 5 stars,"







  
  
    Worth it!! Just make sure the kid does not place the books in his mouth or spill water on it. Gets soiled too soon. Just this point apart, the product is good to go. Make sure you are around the baby during the reading time. 👍👍
  
"
4.0 out of 5 stars,"







  
  
    Product was goodI gifted it some one and they liked it
  
"
5.0 out of 5 stars,"







  
  
    Worth Purchase, Nice Quality & Compact Size....
  
"
4.0 out of 5 stars,"







  
  
    Good one. Need to change only that to mention nd show the famous nd common birds, animals, fruits and vegetables pics.... So that baby can easily recognise, remember nd pronounce the words.
  
"
5.0 out of 5 stars,"







  
  
    Good one to start with
  
"
4.0 out of 5 stars,"







  
  
    Small in size. But picture & paper quality is good. Worth for this price.
  
"
5.0 out of 5 stars,"







  
  
    My child like it very much and learns from it
  
"
5.0 out of 5 stars,"







  
  
    Distract kids from tv and phones. Good quality. Helps learning
  
"
4.0 out of 5 stars,"







  
  
    The product is good quality...its very useful to view and learn easily to the kids
  
"
5.0 out of 5 stars,"







  
  
    It is a best product for kids to learn basics.
  
"
5.0 out of 5 stars,"







  
  
    Very useful for my 1.5 year old. It helps them identify each picture and gives them clarity. The board book is sturdy enough for kids handling. Overall good product to go with.
  
"
5.0 out of 5 stars,"







  
  
    Amazing books for toddlers to learn from this book, as they are small kids enjoy to look at that book and learn from that
  
"
4.0 out of 5 stars,"







  
  
    Quality of the BOOKLET is fabulous.  Bought it after reviewing the uploaded images of the people, little disappointed with the size, but print and quality of the paper is top notch.  Keep up.
  
"
5.0 out of 5 stars,"







  
  
    the build quality book is very small but for 2.5 years kid it is good.
  
"
4.0 out of 5 stars,"







  
  
    3 year kid.
  
"
4.0 out of 5 stars,"







  
  
    Boht hi chota sa pyara sa pack hai. Ek book ek hatheli jitni hai just. Zyada socho mat le lo. Apko pachtawa nahi hoga.
  
"
5.0 out of 5 stars,"







  
  
    Purchased it for my baby. The quality is good and for sure it' is recommended for kids in this complete mobile dominant generation.
  
"
4.0 out of 5 stars,"







  
  
    Bahut accha hai kids ke liye
  
"
4.0 out of 5 stars,"







  
  
    Super book for kids under 3 years!! and good sheet quality (Pages)
  
"
5.0 out of 5 stars,"







  
  
    A very helpful and perfect gift for toddler n pre school kids
  
"
5.0 out of 5 stars,"







  
  
    Good
  
"
4.0 out of 5 stars,"







  
  
    Quality is absolutely fine. But the content may not be so Indian. You can't relate or teach many pictures. Mostly for the western.
  
"
5.0 out of 5 stars,"







  
  
    Very helpfull book
  
"
5.0 out of 5 stars,"







  
  
    This product was a value for money , with good apt learing information for a baby. Good quality and each page has one figures which makes is easy for a baby to point out or remember. Love these books, they are so easy to carry few to keep a toddler engaged during travel, etc. They like to arrange and pull out the books from the box.
  
"
4.0 out of 5 stars,
4.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     All 9 out of 10 books quality is good.1 book is torn a bit at bottom(photo attached) ..hard enough but to be careful not to be contact with water or saliva(kids).
  
"
4.0 out of 5 stars,"







  
  
    Bought it for my little one under 1 year...helpful...sees pictures in books
  
"
5.0 out of 5 stars,"







  
  
    Good Initial for learning.
  
"
3.0 out of 5 stars,"







  
  
    very small in size
  
"
5.0 out of 5 stars,"







  
  
    Very satisfied with the quality of the books
  
"
5.0 out of 5 stars,"







  
  
    Best purchase for my little one
  
"
4.0 out of 5 stars,"







  
  
    Buy this really good for small kids
  
"
4.0 out of 5 stars,"







  
  
    Its a good book for 6+ month babies. I brought for my 1.5 yr son but when i got this the book contained box is torned so i returned anyway it is awesome for babies.
  
"
4.0 out of 5 stars,"







  
  
    She can handle this book on her own
  
"
5.0 out of 5 stars,"







  
  
    Good quality picture books
  
"
4.0 out of 5 stars,"







  
  
    Gud
  
"
4.0 out of 5 stars,"







  
  
    Very nice set of books.according to size it's very handy and comfortable for kids.and curves aren't sharp.abd font size , picture quality is also good.easy to carry when going in traveling or somewhere out.my baby is enjoying by seeing these books.
  
"
5.0 out of 5 stars,"







  
  
    It was very useful for my kidHe was happy to see this flash cards 👏🏻👍🏼
  
"
4.0 out of 5 stars,"







  
  
    Good
  
"
5.0 out of 5 stars,"







  
  
    Book is of good quality. I bought this book for my 6 month old baby, She likes to keep the book in mouth rather than seeing 😁.
  
"
4.0 out of 5 stars,"







  
  
    Worth for money
  
"
5.0 out of 5 stars,"







  
  
    These books are very useful for the kids from 1-1/2 years.
  
"
4.0 out of 5 stars,"







  
  
    Books are very fine. Page quality is strong enough.It is very helpful for my 2+ years old.
  
"
5.0 out of 5 stars,"







  
  
    My 1.5 yr old loves to see the pics in these books. She plays with these all the time. Her favourite is the numbers book.
  
"
5.0 out of 5 stars,"







  
  
    Nice to buy
  
"
5.0 out of 5 stars,"







  
  
    The books were good but the problem is that the children are not familiar with many of the pictures in the book. Quality is good you can go for it.
  
"
4.0 out of 5 stars,"







  
  
    Good Quality Books with nice graphics for Kids - Size is too tiny - To be handled with care as it can tear in the middle
  
"
5.0 out of 5 stars,"







  
  
    Must buy for new born/infants. perfect size for babies to hold in hand and absorb one picture at a time. good picture and hard cover quality. Really good for gifting.
  
"
5.0 out of 5 stars,"







  
  
    Kids are visual learners and ever since I bough this for my 2.5 year old daughter, she always keeps bringing these books and eagerly enquires about the contents.She learned the names of animals and colours fast, thanks to this library. All you need to do is have patience as kids tend to repeatedly ask the same question multiple times about same item :D
  
"
